Accession,Protein,Organism_Name,Species,Genus,Family,Genotype,Isolate,Length,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
YP_010839948.1,Rep,Fusarium graminearum gemytripvirus 1,Gemytripvirus fugra1,Gemytripvirus,Genomoviridae,,HB58,296,China,China,Fusarium graminearum,,"Li,P., Wang,S., Zhang,L., Qiu,D., Zhou,X., Guo,L.",2010-10,2023-05-06,ssDNA
YP_010839949.1,hypothetical protein,Fusarium graminearum gemytripvirus 1,Gemytripvirus fugra1,Gemytripvirus,Genomoviridae,,HB58,228,China,China,Fusarium graminearum,,"Li,P., Wang,S., Zhang,L., Qiu,D., Zhou,X., Guo,L.",2010-10,2023-05-06,ssDNA
YP_010839950.1,CP,Fusarium graminearum gemytripvirus 1,Gemytripvirus fugra1,Gemytripvirus,Genomoviridae,,HB58,300,China,China,Fusarium graminearum,,"Li,P., Wang,S., Zhang,L., Qiu,D., Zhou,X., Guo,L.",2010-10,2023-05-06,ssDNA
YP_010798126.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctbb31,312,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2023-05-05,ssDNA
YP_010798127.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctbb31,329,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2023-05-05,ssDNA
YP_010784532.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctcj270,305,USA,USA,,,"Tisza,M., Buck,C., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2023-05-04,ssDNA
YP_010784533.1,hypothetical protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctcj270,232,USA,USA,,,"Tisza,M., Buck,C., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2023-05-04,ssDNA
YP_010784534.1,Rep catalytic domain protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctcj270,201,USA,USA,,,"Tisza,M., Buck,C., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2023-05-04,ssDNA
YP_010784574.1,hypothetical protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctcg63,86,USA,USA,,,"Tisza,M., Buck,C., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2023-05-04,ssDNA
YP_010784575.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctcg63,314,USA,USA,,,"Tisza,M., Buck,C., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2023-05-04,ssDNA
YP_010784576.1,Rep catalytic domain protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctcg63,234,USA,USA,,,"Tisza,M., Buck,C., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2023-05-04,ssDNA
YP_010784577.1,putative ORF3 protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctcg63,188,USA,USA,,,"Tisza,M., Buck,C., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2023-05-04,ssDNA
YP_010784578.1,hypothetical protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,cthd64,193,USA,USA,,,"Tisza,M., Buck,C., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2023-05-04,ssDNA
YP_010784579.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,cthd64,297,USA,USA,,,"Tisza,M., Buck,C., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2023-05-04,ssDNA
YP_010784580.1,Rep catalytic domain protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,cthd64,273,USA,USA,,,"Tisza,M., Buck,C., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2023-05-04,ssDNA
YP_010784581.1,putative ORF3 protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,cthd64,212,USA,USA,,,"Tisza,M., Buck,C., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2023-05-04,ssDNA
YP_010784582.1,putative capsid protein,Cybaeus spider associated circular virus 2,Gemykibivirus cybusi1,Gemykibivirus,Genomoviridae,,BC_I1644B_C3,301,"Canada: Victoria, British Columbia",Canada,Cybaeus signifer,,"Rosario,K., Mettel,K.A., Benner,B.E., Johnson,R., Scott,C., Yusseff-Vanegas,S.Z., Baker,C.C., Cassill,D.L., Storer,C., Varsani,A., Breitbart,M.",2017-05,2023-05-04,ssDNA
YP_010784583.1,replication-associated protein,Cybaeus spider associated circular virus 2,Gemykibivirus cybusi1,Gemykibivirus,Genomoviridae,,BC_I1644B_C3,317,"Canada: Victoria, British Columbia",Canada,Cybaeus signifer,,"Rosario,K., Mettel,K.A., Benner,B.E., Johnson,R., Scott,C., Yusseff-Vanegas,S.Z., Baker,C.C., Cassill,D.L., Storer,C., Varsani,A., Breitbart,M.",2017-05,2023-05-04,ssDNA
YP_010784584.1,putative capsid protein,Spider associated circular virus 1,Gemycircularvirus cybusi1,Gemycircularvirus,Genomoviridae,,BC_I1644D_G1,317,"Canada: Victoria, British Columbia",Canada,Cybaeus signifer,,"Rosario,K., Mettel,K.A., Benner,B.E., Johnson,R., Scott,C., Yusseff-Vanegas,S.Z., Baker,C.C., Cassill,D.L., Storer,C., Varsani,A., Breitbart,M.",2017-05,2023-05-04,ssDNA
YP_010784585.1,replication-associated protein,Spider associated circular virus 1,Gemycircularvirus cybusi1,Gemycircularvirus,Genomoviridae,,BC_I1644D_G1,294,"Canada: Victoria, British Columbia",Canada,Cybaeus signifer,,"Rosario,K., Mettel,K.A., Benner,B.E., Johnson,R., Scott,C., Yusseff-Vanegas,S.Z., Baker,C.C., Cassill,D.L., Storer,C., Varsani,A., Breitbart,M.",2017-05,2023-05-04,ssDNA
YP_010784586.1,putative capsid protein,Grasshopper associated circular virus 1,Gemykolovirus easlu1,Gemykolovirus,Genomoviridae,,FL_SDBVL,249,"USA: St. Petersburg, FL",USA,Romalea microptera,,"Rosario,K., Mettel,K.A., Benner,B.E., Johnson,R., Scott,C., Yusseff-Vanegas,S.Z., Baker,C.C., Cassill,D.L., Storer,C., Varsani,A., Breitbart,M.",2011,2023-05-04,ssDNA
